line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,line_length_trans,word_count_trans,verb_percentage_trans,adj_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,number_percentage_trans,proper_noun_percentage_trans
97,15,6.7,13.3,4.1000000000000005,1.0,0.0,6.7,1.662464632826401,1.31101942303975,1.885203631020986,1.9096901596233076,2.024845673131659,1.0,0.0,1.6088616538127065
157,25,3.6,21.4,4.5,2.5,0.0,3.6,1.7538354746818776,1.379729661461215,1.5326188647871062,2.1508169151483236,2.1213203435596424,1.5811388300841898,0.0,1.3774493079968597
35,5,0.0,0.0,2.9000000000000004,5.7,0.0,42.9,1.4844415983612418,1.174618943088019,0.0,0.0,1.7029386365926402,2.3874672772626644,0.0,2.55925949397968
38,5,20.0,0.0,0.0,0.0,20.0,20.0,1.4980679431428716,1.174618943088019,2.7144176165949063,0.0,0.0,0.0,4.47213595499958,2.114742526881128
44,4,0.0,0.0,0.0,2.3,0.0,100.0,1.5226702163025172,1.148698354997035,0.0,0.0,0.0,1.51657508881031,0.0,3.1622776601683795
8,2,50.0,0.0,0.0,0.0,0.0,0.0,1.2599210498948732,1.0717734625362931,3.6840314986403864,0.0,0.0,0.0,0.0,0.0
14,2,0.0,50.0,0.0,0.0,0.0,0.0,1.3407492401952805,1.0717734625362931,0.0,2.6591479484724942,0.0,0.0,0.0,0.0
299,53,3.2,3.2,5.0,3.3000000000000003,9.5,25.4,1.8839725750216032,1.487399348620308,1.4736125994561546,1.337480609952844,2.23606797749979,1.8165902124584952,3.082207001484488,2.244959079213174
69,14,6.7,6.7,5.800000000000001,1.4,6.7,6.7,1.6007244024062173,1.3020054543174677,1.885203631020986,1.6088616538127065,2.4083189157584592,1.1832159566199232,2.588435821108957,1.6088616538127065
300,47,11.3,7.5,5.0,2.7,0.0,15.1,1.8846716378431192,1.4696360133599293,2.24401702659183,1.6548754598234365,2.23606797749979,1.6431676725154984,0.0,1.971261485837201
498,78,6.2,8.200000000000001,3.6,4.4,2.1,32.0,1.9938484691064855,1.5459998956507686,1.8370905500142276,1.6922069059826197,1.8973665961010275,2.0976176963403033,1.449137674618944,2.378414230005442
