line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,Award,Bullet,Certification,Contact,Date,Degree,Heading,Interest,Location,Name,Organization,Skill,Summary,Title,Training,Unknown,Volunteer
33,5,0.0,0.0,3.0,3.0,0.0,66.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,2,0.0,0.0,0.0,4.3,33.300000000000004,33.300000000000004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,9,0.0,0.0,0.0,2.7,9.1,63.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,11,0.0,0.0,0.0,1.4000000000000001,8.3,83.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,0.0,0.0,0.0,11.1,0.0,45.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
147,25,0.0,0.0,0.0,14.299999999999999,0.0,56.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,2,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,3,0.0,0.0,0.0,6.7,25.0,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,0.0,0.0,0.0,5.6000000000000005,25.0,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0.0,100.0,0.0,16.7,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0.0,0.0,0.0,11.1,33.300000000000004,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,2,0.0,50.0,0.0,0.0,0.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,2,0.0,0.0,0.0,5.0,0.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,3,0.0,0.0,0.0,0.0,25.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,9,0.0,11.1,3.3000000000000003,0.0,11.1,22.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,25.0,12.5,2.0,0.0,0.0,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,0.0,0.0,4.0,0.0,22.2,33.300000000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1,0.0,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,2,0.0,0.0,0.0,5.0,0.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,4,0.0,0.0,0.0,0.0,40.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,13,0.0,7.1,6.800000000000001,1.4000000000000001,0.0,7.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,12,15.4,7.7,4.0,1.3,0.0,7.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,11.1,0.0,5.0,2.5,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,0.0,0.0,0.0,0.0,0.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,4,0.0,25.0,0.0,0.0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,2,0.0,0.0,0.0,5.6000000000000005,0.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,4,0.0,0.0,0.0,4.2,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,8,11.1,22.2,3.5999999999999996,1.7999999999999998,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,8,11.1,22.2,3.5999999999999996,1.7999999999999998,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,0.0,11.1,4.1000000000000005,2.0,0.0,11.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,5,0.0,0.0,4.0,0.0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,2,0.0,0.0,0.0,5.0,0.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
