line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,line_length_trans,verb_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,word_count_trans,adj_percentage_trans,number_percentage_trans,proper_noun_percentage_trans
59,10,8.3,8.3,6.800000000000001,3.4000000000000004,0.0,0.0,1.5034368858142386,2.8809720581775866,2.6076809620810595,1.8439088914585775,1.1301807132434794,2.024693852005457,0.0,0.0
119,20,3.8,0.0,0.0,5.0,3.8,46.2,1.612704122561278,1.9493588689617927,0.0,2.23606797749979,1.174618943088019,0.0,1.5604907507078847,6.797058187186572
77,12,13.3,0.0,5.2,3.9,0.0,6.7,1.5440063158727362,3.646916505762094,2.280350850198276,1.9748417658131499,1.145793780982531,0.0,0.0,2.588435821108957
83,20,18.2,0.0,10.8,2.4,4.5,0.0,1.5556353708263266,4.266145801540309,3.286335345030997,1.5491933384829668,1.091493425617897,0.0,1.6509636244473134,0.0
36,5,0.0,0.0,2.8000000000000003,2.8000000000000003,0.0,33.300000000000004,1.4309690811052556,0.0,1.6733200530681511,1.6733200530681511,1.108449222600272,0.0,0.0,5.770615218501404
89,16,5.6000000000000005,16.7,5.6000000000000005,2.2,0.0,5.6000000000000005,1.5665310257218434,2.3664319132398464,2.3664319132398464,1.4832396974191326,1.0820373898183429,2.5560665504814426,0.0,2.3664319132398464
16,3,0.0,0.0,0.0,0.0,0.0,66.7,1.3195079107728942,0.0,0.0,0.0,0.0,0.0,0.0,8.167006795638168
79,13,35.7,0.0,5.1,1.3,0.0,7.1,1.547970603881666,5.974947698515862,2.258317958127243,1.140175425099138,1.026583631304232,0.0,0.0,2.6645825188948455
92,15,20.0,6.7,5.4,0.0,0.0,0.0,1.5717330400034728,4.47213595499958,2.32379000772445,0.0,0.0,1.885203631020986,0.0,0.0
50,9,0.0,0.0,4.0,0.0,22.2,33.300000000000004,1.4787576366283137,0.0,2.0,0.0,0.0,0.0,2.810504757710476,5.770615218501404
20,3,0.0,0.0,0.0,5.0,25.0,25.0,1.3492828476735634,0.0,0.0,2.23606797749979,1.174618943088019,0.0,2.924017738212866,5.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.2457309396155174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,7,0.0,11.1,4.3,4.3,0.0,11.1,1.4696360133599293,0.0,2.073644135332772,2.073644135332772,1.1570359301034678,2.2306991044756197,0.0,3.331666249791536
12,1,0.0,100.0,0.0,16.7,0.0,0.0,1.2820888539868154,0.0,0.0,4.08656334834051,1.3251701574928543,4.641588833612778,0.0,0.0
16,3,0.0,0.0,0.0,0.0,0.0,100.0,1.3195079107728942,0.0,0.0,0.0,0.0,0.0,0.0,10.0
54,6,0.0,8.3,0.0,11.1,0.0,0.0,1.490182215342446,0.0,0.0,3.331666249791536,1.2721323532877689,2.024693852005457,0.0,0.0
53,46,2.0,0.0,0.0,7.5,7.8,76.5,1.487399348620308,1.4142135623730951,0.0,2.7386127875258306,1.223224374241637,0.0,1.9831924826807745,8.74642784226795
38,6,0.0,0.0,2.6,5.3,11.1,44.4,1.4387268865499157,0.0,1.61245154965971,2.3021728866442674,1.1814832989196156,0.0,2.2306991044756197,6.663332499583072
77,11,15.4,7.7,2.6,2.6,0.0,0.0,1.5440063158727362,3.924283374069717,1.61245154965971,1.61245154965971,1.100265093106018,1.9746808222123668,0.0,0.0
