line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage
30,7,0.0,0.0,3.3000000000000003,0.0,0.0,14.3
15,3,0.0,0.0,0.0,0.0,0.0,33.300000000000004
72,11,0.0,0.0,0.0,4.2,6.7,73.3
6,1,0.0,0.0,0.0,0.0,0.0,0.0
109,18,15.8,10.5,4.6,0.8999999999999999,0.0,10.5
83,15,5.9,5.9,4.8,3.6,5.9,17.599999999999998
75,12,15.4,7.7,4.0,1.3,0.0,7.7
19,3,0.0,33.300000000000004,0.0,0.0,0.0,33.300000000000004
25,4,0.0,14.3,0.0,16.0,14.3,0.0
37,7,0.0,0.0,0.0,5.4,18.2,45.5
20,3,0.0,0.0,0.0,5.0,0.0,75.0
44,9,0.0,0.0,2.3,6.800000000000001,0.0,58.3
91,15,11.1,0.0,3.3000000000000003,3.3000000000000003,0.0,16.7
11,1,0.0,0.0,0.0,27.3,33.300000000000004,0.0
21,1,0.0,0.0,0.0,9.5,0.0,33.300000000000004
355,56,11.7,11.7,5.1,1.1,0.0,21.7
95,14,7.1,21.4,4.2,0.0,0.0,14.3
40,6,0.0,0.0,5.0,0.0,0.0,50.0
10,1,0.0,0.0,0.0,10.0,0.0,0.0
86,17,0.0,21.1,5.800000000000001,2.3,0.0,5.3
90,17,22.2,0.0,5.6000000000000005,1.1,11.1,0.0
30,5,14.3,0.0,0.0,6.7,14.3,42.9
13,2,0.0,0.0,0.0,0.0,0.0,100.0
3,1,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0
18,2,0.0,0.0,0.0,0.0,0.0,50.0
5,1,0.0,0.0,0.0,0.0,0.0,0.0
96,15,23.5,5.9,4.2,2.1,0.0,0.0
75,4,0.0,10.0,0.0,18.7,20.0,10.0
95,15,13.3,20.0,5.3,1.1,0.0,0.0
51,10,0.0,10.0,3.9,0.0,0.0,20.0
20,4,0.0,0.0,0.0,5.0,20.0,60.0
51,8,16.7,16.7,0.0,0.0,16.7,33.300000000000004
32,4,0.0,0.0,3.1,0.0,0.0,0.0
76,13,0.0,7.1,5.3,2.6,7.1,7.1
24,3,0.0,33.300000000000004,0.0,0.0,0.0,0.0
101,16,11.8,0.0,4.0,1.0,0.0,29.4
40,6,0.0,0.0,2.5,0.0,0.0,83.3
76,9,0.0,0.0,1.3,2.6,0.0,72.7
16,2,0.0,0.0,0.0,0.0,0.0,100.0
96,14,6.2,6.2,2.1,2.1,0.0,6.2
64,10,15.4,15.4,1.6,6.2,7.7,7.7
22,2,0.0,0.0,0.0,0.0,0.0,50.0
88,16,0.0,10.5,4.5,3.4000000000000004,0.0,5.3
137,27,6.9,6.9,8.799999999999999,1.5,6.9,3.4000000000000004
40,1,0.0,0.0,0.0,17.5,0.0,0.0
40,8,0.0,0.0,0.0,7.5,15.4,30.8
93,12,0.0,0.0,0.0,6.5,11.8,58.8
18,2,0.0,0.0,0.0,5.6000000000000005,0.0,66.7
14,2,0.0,0.0,0.0,0.0,0.0,100.0
12,2,0.0,0.0,0.0,0.0,0.0,100.0
43,6,0.0,0.0,0.0,2.3,0.0,85.7
22,3,0.0,0.0,0.0,9.1,20.0,40.0
76,10,0.0,0.0,0.0,6.6000000000000005,7.7,61.5
29,7,0.0,0.0,0.0,0.0,28.6,71.39999999999999
87,17,15.8,5.3,8.0,2.3,0.0,0.0
9,2,0.0,0.0,0.0,0.0,66.7,0.0
64,10,18.2,9.1,3.1,4.7,0.0,18.2
24,4,0.0,25.0,0.0,0.0,0.0,75.0
75,14,6.7,0.0,5.3,1.3,0.0,60.0
76,12,0.0,6.7,2.6,5.3,6.7,40.0
73,12,8.3,25.0,5.5,0.0,0.0,8.3
68,11,16.7,8.3,2.9000000000000004,2.9000000000000004,8.3,0.0
24,4,25.0,25.0,0.0,0.0,0.0,0.0
104,15,12.5,0.0,3.8,1.0,0.0,0.0
19,4,0.0,0.0,0.0,5.3,40.0,40.0
74,13,5.9,5.9,2.7,5.4,0.0,5.9
13,2,0.0,50.0,0.0,0.0,0.0,50.0
93,13,0.0,14.3,4.3,1.1,0.0,0.0
25,5,0.0,0.0,4.0,0.0,0.0,80.0
92,15,4.3,4.3,5.4,6.5,4.3,17.4
9,1,0.0,0.0,0.0,11.1,0.0,0.0
17,2,0.0,0.0,0.0,0.0,0.0,0.0
16,3,25.0,0.0,0.0,0.0,25.0,50.0
31,4,0.0,0.0,0.0,0.0,25.0,75.0
24,3,0.0,0.0,0.0,4.2,0.0,25.0
14,2,0.0,0.0,0.0,0.0,0.0,100.0
23,6,0.0,0.0,0.0,4.3,28.6,42.9
16,2,0.0,33.300000000000004,0.0,6.2,0.0,0.0
44,7,0.0,10.0,0.0,9.1,0.0,60.0
19,17,0.0,0.0,0.0,0.0,0.0,89.5
34,4,0.0,20.0,0.0,2.9000000000000004,0.0,0.0
32,8,12.5,12.5,6.2,0.0,0.0,12.5
14,1,0.0,0.0,0.0,0.0,0.0,0.0
19,17,0.0,0.0,0.0,0.0,0.0,89.5
60,9,0.0,0.0,1.7000000000000002,5.0,7.7,38.5
206,32,2.9000000000000004,20.0,5.3,4.4,11.4,8.6
143,23,17.4,4.3,4.9,0.0,0.0,8.7
10,2,0.0,0.0,0.0,0.0,0.0,0.0
96,16,6.2,0.0,5.2,0.0,0.0,37.5
66,10,9.1,0.0,3.0,3.0,9.1,0.0
184,30,12.1,9.1,4.9,1.6,0.0,9.1
50,8,25.0,12.5,2.0,0.0,0.0,25.0
50,7,0.0,0.0,2.0,0.0,0.0,85.7
11,1,0.0,0.0,0.0,9.1,0.0,0.0
18,2,0.0,25.0,0.0,22.2,0.0,0.0
40,6,0.0,0.0,0.0,0.0,0.0,83.3
38,5,0.0,0.0,0.0,5.3,0.0,100.0
6,2,0.0,0.0,0.0,0.0,0.0,50.0
73,10,0.0,6.2,0.0,8.200000000000001,0.0,50.0
11,1,0.0,0.0,0.0,27.3,33.300000000000004,0.0
18,3,0.0,33.300000000000004,0.0,0.0,0.0,66.7
117,16,9.1,4.5,0.8999999999999999,5.1,0.0,9.1
89,17,10.0,10.0,5.6000000000000005,3.4000000000000004,0.0,0.0
51,6,0.0,0.0,2.0,2.0,0.0,28.6
29,7,0.0,0.0,0.0,3.4000000000000004,25.0,50.0
26,5,0.0,20.0,3.8,0.0,0.0,20.0
81,14,13.3,13.3,2.5,1.2,0.0,0.0
71,10,0.0,9.1,4.2,4.2,0.0,9.1
13,2,0.0,50.0,0.0,0.0,0.0,0.0
60,10,20.0,10.0,8.3,0.0,0.0,0.0
17,3,33.300000000000004,0.0,5.9,0.0,0.0,0.0
17,2,0.0,50.0,0.0,0.0,0.0,0.0
10,1,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0
19,4,0.0,25.0,0.0,0.0,0.0,50.0
10,1,0.0,0.0,0.0,0.0,0.0,0.0
85,16,0.0,5.9,5.9,1.2,5.9,29.4
54,9,0.0,0.0,0.0,0.0,20.0,80.0
36,7,0.0,11.1,0.0,2.8000000000000003,11.1,66.7
64,13,14.3,0.0,7.8,3.1,0.0,21.4
116,18,9.5,9.5,2.6,3.4000000000000004,4.8,9.5
92,13,0.0,0.0,1.1,2.2,13.3,66.7
89,14,20.0,13.3,4.5,1.1,0.0,13.3
24,4,0.0,0.0,0.0,8.3,16.7,50.0
102,16,23.5,0.0,3.9,1.0,0.0,5.9
60,8,10.0,10.0,3.3000000000000003,3.3000000000000003,0.0,0.0
9,1,0.0,0.0,0.0,11.1,0.0,0.0
24,4,0.0,25.0,4.2,0.0,0.0,25.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0
109,20,15.0,5.0,4.6,0.0,0.0,25.0
87,17,5.6000000000000005,16.7,8.0,1.1,0.0,0.0
18,2,0.0,50.0,0.0,5.6000000000000005,0.0,50.0
79,13,13.3,6.7,3.8,2.5,0.0,13.3
17,3,0.0,0.0,0.0,0.0,33.300000000000004,66.7
39,5,0.0,0.0,2.6,0.0,0.0,40.0
110,17,25.0,0.0,2.7,2.7,0.0,5.0
295,41,14.9,8.5,3.7,2.4,0.0,2.1
22,2,0.0,0.0,0.0,0.0,0.0,100.0
75,13,14.3,14.3,6.7,2.7,7.1,0.0
90,12,6.7,0.0,2.2,5.6000000000000005,6.7,26.700000000000003
24,1,0.0,0.0,0.0,8.3,33.300000000000004,0.0
52,7,0.0,0.0,0.0,7.7,0.0,63.6
20,3,0.0,0.0,0.0,0.0,0.0,100.0
195,37,1.9,1.9,2.6,9.7,11.1,29.6
